PEDIDO,CODIGO DE MAQUINA,FECHA,CODIGO PRODUCTO,O/P,DESTINO,N° DE TRABAJOS,COMPAÑÍA,NOMBRE DEL CLIENTE,PRODUCTO,CLIENTE Kg,TIEMPO DE PARADAS EN MINUTOS,,,,,,,,,,,,,,,,,,TOTAL TIEMPO PARADAS  min.,TIEMPO EFECTIVO PRODUCCION  min.,TOTAL TIEMPO PRODUCCION  min.,DIAS TRABAJADOS,EFICIENCIA DE MAQUINA ,ENTRADA DE MATERIA PRIMA,,,,,,,,,,,,,,,,,SALIDA DE MATERIALES,,,,,,,,,,,,,,,,,,DATOS DE TINTA Kg.,,,VELOCIDAD m/min.,,DESPERDICIO,,,,,,,,OBSERVACIONES,,,,,,,,,,,
,,,,,,,,,,,PREPARACION,PRE-PRENSA,COLORIMETRIA,CALIDAD,MANTENIMIENTO,Limpieza general de Maquina,PLANIFICACION,LIMPIEZA DE PLANCHA,LIMPIEZA DE TAMBOR CENTRAL,LIMPIEZA DE RODILLO,PRODUCCION,PRUEBAS,LOGISTICA,FALLAS ELECT,APROBACIONES,ESTANDAR DE COLOR,RRHH,FALTA DE INSUMO/PEDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELICULAS,,,,,TINTAS Kg,,,,,,,,,CONSUMO,SOLVENTE Lts,,PELICULA DEVOLUCION,,,TINTAS KG EN DEVOLUCION,,,,,,,,PRODUCTO TERMINADO,,,,,SOLVENTE Lts,,CONSUMO DE TINTA BLANCO,CONSUMO DE TINTA VARIAS,CONSUMO TOTAL,VELOCIDAD DE MAQUINA TEORICA ML/min.,VELOCIDAD DE MAQUINA REAL ML/min.,m/l,,m2,,Kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,# COLORES,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,,PRODUCCION,LIMPIEZA,m/l,m2,Kg,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,PRODUCCION,LIMPIEZA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,,,,,,,,,,,,CANT,%,CANT,%,CANT,%,MAT. OBSERVACION,MAT. RECHAZADO,,Aplic Tinta Humeda,Tipo de Trabajo ,nº de pantone,M/L Estandar de Dsp,Metros de Dsp,Cumplimiento,metros op,Cumplimiento,material reciclado,Proveedor,Material
,,,,,,,,,,Trabajos Repetidos en el mes =>,,,,,,, ,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-6117,NF,5/8/26,TXDNBC065A001,16645,LAMINACION,1,CX,"DISTRIBUIDORA NACIONAL 2000, C.A.",LAMINACION IMPRESA BUEN CAFÉ PREMIUN 100g,"1,700",100,0,35,20,0,0,0,0,0,0,120,0,0,0,0,0,0,0,275,155,430,0.30,36.11%,"29,260",18,1000,"29,260",555.00,6,220,0,35,25,19,12,24,335,593.10,0,0,0,0,0.00,184,0,14,12,5,11,6,232," 19,812 ",19.63,"1,000","19,812.0",389.00,0,0,36,67,103,127.49,46.03,"9,448",47.69%,"9,448.0",47.69%,204.10,52.47%,0.00,0.00,"se repone bobina 3 de  140kg ya que presenta sucio en el color negro, ",5.20,REPETICION,1,3500,"-5,948",NO CUMPLE,"19,500",312,0,TELEPLASTIC,BOPP OCTH MATE
01-6125,NF,5/8/26,TXPCGP023A001,16669,CORTE,0,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA GOLDEN PIÑA 1L,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,60,540,0,540,0.38,0.00%,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0.00,0.00,0,0.00%,0.0,0.00%,0.00,100.00%,0.00,0.00,se suspende trabajo por colision de estacion 1 dañando plancha de color negro en dos acasiones ,0.00,SUSPENDIDO,0,0,0,0,0,0,0,,
000lm,NF,5/8/26,000LM,000LM,LIMPIEZA,0,CX,LIMPIEZA GENERAL DE MAQUINA,LIMPIEZA GENERAL DE MAQUINA,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,420,0,420,0.29,0.00%,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,Se realiza limpieza general de maquina,0.00,LIMPIEZA,0,0,0,0,0,0,0,,
01-6125,NF,5/8/26,TXPCGP023A001,16669,CORTE,1,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA GOLDEN PIÑA 1L,850,45,40,25,40,85,0,0,50,0,0,40,0,10,0,0,0,0,0,335,240,575,0.40,41.74%,40800,21,1010,"41,208",900.00,6,0,49,0,39,0,16,105,209,939.00,0,0,0,0,0.00,0,11,0,9,0,14,45,79," 34,633 ",22.73,"1,010","34,979.3",795.10,0,0,0,130,130,144.30,60.23,"6,167",17.81%,"6,228.7",17.81%,143.90,18.10%,0.00,0.00,"defecto en plancha color amarillo genera 22 kg de dsp, primera bobina sale con un tono amarillo fuerte pero dentro del estandar, se limpia color negro en varias ocasiones",3.72,REPETICION,4,3500,"-2,667",NO CUMPLE,"39,000","-4,367",1200,OPPFILM,BOPP PC PERLADO
01-6126,NF,5/8/26,TXPCGM023C001,16673,CORTE,1,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA GOLDEN MANZANA 2L,"1,010",75,0,120,20,25,0,,60,10,0,75,0,0,0,0,0,0,0,385,285,670,0.47,42.54%,53200,21,1010,"53,732","1,172.00",7,0,55,0,0,0,15,250,320,"1,227.50",0,0,0,0,0.00,0,28,0,0,0,13,94,135," 43,900 ",22.56,"1,010","44,339.0","1,000.30",0,0,0,185,185,154.04,65.52,"9,300",21.18%,"9,393.0",21.18%,227.20,22.71%,0.00,0.00,"se observa fuera de registros en corte 8,9,10,11, sucio de color negro, ",4.17,REPETICION,5,3500,"-5,800",NO CUMPLE,"47,000","-3,100",1300,OPPFILM,BOPP PC PERLADO
01-6124,NF,5/11/26,TXPCGK023A001,16672,CORTE,1,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA GOLDEN KOLITA 1L,540,65,30,75,20,0,0,0,20,0,0,35,0,0,0,0,0,0,0,245,130,375,0.26,34.70%,27100,21,1010,"27,371",607.00,6,0,35,0,0,0,68,198,301,631.30,0,0,0,0,0.00,0,24,0,0,0,29,167,220," 23,265 ",23.10,"1,010","23,497.7",542.80,0,0,0,81,81,178.69,62.01,"3,835",16.48%,"3,873.3",16.48%,88.50,16.30%,0.00,0.00,"tonalidad de azul rey muy baja, paradas para limpiar color negro, 0",3.45,REPETICION,4,3500,-335,NO CUMPLE,"24,500","-1,235",1000,TELEPLASTIC,BOPP POCT PERLADO 
01-6123,NF,5/12/26,TXPCGU023A001,16671,CORTE,1,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA GOLDEN UVA 2L,540,100,0,65,20,0,0,0,20,15,0,75,0,0,0,0,0,0,0,295,125,420,0.29,29.83%,"29,350",21,1010,"29,644",644.00,7,0,36,0,0,0,12,233,281,672.80,0,0,0,0,0.00,0,20,0,0,0,10,155,185," 21,534 ",23.31,"1,010","21,749.3",507.00,0,0,0,96,96,171.72,51.22,"7,816",36.30%,"7,894.2",36.30%,165.80,32.70%,0.00,0.00,"se arranca con notificacion de falla por sombra en el texto, se compensan registros, sucio en trama color violeta ",4.41,REPETICION,5,3500,"-4,316",NO CUMPLE,"23,500","-1,966",1200,TELEPLASTIC,BOPP POCT PERLADO 
01-6122,NF,5/12/26,TXPCPL023A002,16670,CORTE,1,CX,"PEPSI-COLA VENEZUELA, C.A. ",ETIQUETA IMPRESA PEPSI LIGHT 2L,530,75,0,430,0,30,0,0,10,10,0,275,0,35,0,0,0,0,0,865,195,"1,060",0.74,18.40%,"27,200",21,1010,"27,472",609.00,6,0,12,0,0,0,14,242,268,652.20,0,0,0,0,0.00,0,9,0,0,0,11,104,124," 22,374 ",21.32,"1,010","22,597.7",481.80,0,0,0,144,144,114.74,21.11,"4,826",21.57%,"4,874.3",21.57%,170.40,35.37%,0.00,0.00,"copiado del color gris plata oscuro, se cambia de estacion , se cambian raclas, se lava anilox, se realizan varias pruebas con velocidad, se enjuagan bombas, se arranca con notificacion de falla ",6.37,REPETICION,4,3500,"-1,326",NO CUMPLE,"23,500","-1,126",980,BOPP.DEL.ECUADOR,BOPP PC PERLADO
11-0130,NF,5/13/26,TXTFCA036C001,16665,LAMINACION,1,CX,"INVERSIONES TORREFACCION DEL CAFÉ, C.A",LAMINACION IMPRESA CAFÉ AMANECER MOLIDO GOURMET 100g ,"4,528",110,10,160,40,15,0,0,105,25,20,130,0,0,0,0,0,0,0,615,725,"1,340",0.93,54.12%,"119,637",18,1090,"130,404","2,369.50",6,517,0,0,31,0,0,539,"1,087","2,663.80",0,0,0,0,0.00,106,0,0,15,0,0,259,380," 111,731 ",20.08,"1,090","121,786.8","2,445.50",0,0,411,296,707,154.03,83.36,"7,906",7.08%,"8,617.5",7.08%,218.30,8.93%,0.00,0.00,"se realiza produccion a 180 m/m ya que a mayor velocidad se nota golpeteo del color marron C.B, se realiza limpieza por sucio en el blanco y los dos marrones, problemas de rayas en anilox",5.81,REPETICION,5,3500,"-4,406",NO CUMPLE,"115,000","-3,269",1090,TELEPLASTIC,BOPP OCTH MATE
01-6132,NF,5/14/26,TXAJBC031A001,16678,LAMINACION,1,CX,"AJEVEN, C.A.",ETIQUETA LAMINADA IMPRESA BIG COLA 2 L,260,40,0,0,20,0,0,0,0,0,0,0,0,0,0,245,110,0,0,415,35,450,0.31,7.86%,"9,461",14,1090,"10,312",189.20,3,106,0,0,0,0,37,22,165,216.50,0,0,0,0,0.00,70,0,0,0,0,10,18,98," 7,824 ",15.33,"1,090","8,528.2",130.70,0,0,36,31,67,221.02,17.37,"1,637",20.92%,"1,784.3",20.92%,85.80,65.65%,0.00,0.00,"Aprobacion, se reaoiza estandar de color ",7.86,APROBACION,0,3500,"1,863",CUMPLE,"6,600","1,224",550,OPPFILM,BOPP SC TRANSPARENTE
